Date,st601,st604,st605,st606,st607,st608,st609,st610,st612,st613,st614,st615,st616,st619,st620,st621,st622,st624,st625,st626,st627,st628,st629,st630,st633,st701,st704,st706,st710,st715,st722,st725,st726,st801,st802,st804,st805,st806,st807,st808,st809,st810,st811,st813,st814,st815,st816,st817,st818,st820,st821,st823,st824,st826,st827,st829,st830,st832,st833,st834,st866,st902,st903,st904,st906,st919,st920,st925,st927,st1002,st1004,st1005,st1007,st1038,st1054,st1054,st1055,st1057,st1079,
8/24/1983,1.6,0,7,3,1.5,0.3307766059,3.5,0,0,2.6,32.5,5.488672721,5,0,0,3.843080416,36.864891,1.170260071,1.465688141,3.742704072,0,0,0,2.500997855,0,11.2,92.3,15.7,3.1,27.8,4.2,2.1,26.8,16.1,15.4,42.7,35.3,5.3,12.2,9.9,34.6,0,31,0,36.1,6.2,1.7,1.7,16.1,0.5,25.4,25.4,26.1,0,2.974428084,27.40526852,0,8.492948075,0,0.2856554137,36.26,0.3,0,15,1.2,4.2,2.2,15.83905514,0,80,37.4,5,22.5,14,6,6,0.1,57.8,14.83146785,
8/25/1983,1.3,2,39.2,19.2,4,3.572387344,7.4,0,8.1,53.9,47.8,17.76258337,14.7,38,0,14.09129486,54.21974739,0.950836308,1.190871614,23.95330606,0,0,0,51.84760938,0,2.4,229.8,37,1.4,9.7,15.4,19,4.7,0.8,29,40,0,2.5,38.4,39,16.7,12.6,82.5,0,75.4,30.4,4.5,36,106.1,5.4,18.7,64.5,38.8,12.89334284,27.49969833,20.17631974,0,0,0,3.085078468,33.97,48.2,10.4,18,13.2,17.2,4,19.00686617,11.17123929,60.5,29,24,27.5,16.5,6,6,0,48.9,17.47994425,
8/26/1983,3.3,3.4,6,16,26,3.506232023,20.1,0,0,8.6,10.8,9.103403441,14,41.2,0,0,12.25048686,2.413661397,3.02298179,19.96108838,0,0,0,8.272531367,0,1.6,11.2,10.7,17.1,13.4,0,2.7,10.3,32.1,50,29.6,20,7.3,38.2,16.7,19.9,5.5,63,0,95,2.2,2,2,51.3,5.3,9.2,23,23.8,5.628046476,1.707537688,9.926317732,0,4.811868598,0,3.027947385,25.14,10.6,4,10.7,6,12.4,0,11.298526,4.296630495,0,34,35,13,16.6,21,21,0,41.2,17.58588331,
8/27/1983,0,1,3,4,0.9,0.06615532119,4.1,0,0,5.2,5,0.3196367437,0,13,0,0.549011488,5.671521693,0,0,4.990272096,0,0,0,5.00199571,0,0,14.3,8.4,45.3,4.4,0.6,3,0,43.9,15,11.3,0,2,7,29.7,11.1,19,6,0,23.2,12.5,3,15,19.5,0.1,3.7,24.6,2.5,19.44234237,11.39958481,3.992106044,0,0,0,0.05713108274,9.6,36.6,8.2,0.3,24.2,0,21.4,0.3167811028,8.808092515,40,10,29,69.6,30,20,20,0,31.8,31.78171682,
8/28/1983,0,0,1,0,0,0,2.3,0,0,10.7,0,14.21446372,17.6,0,0,4.758099563,0,0,0,0,0,0,0,10.2925681,0,0,13.4,0,19,3.6,5.2,0,32.2,11.8,3,73,1.8,6.1,2.3,13.8,36.8,0,76.5,0,33.6,0,0,0,10.6,0,1.5,41.3,0,0,0,1.618421369,0,0.4330681738,0,0,62,17.8,0,0.7,0.3,0,20.3,0.7391559065,0,22.5,19.5,10,13.6,9.7,4,4,0,21,10.27608844,
8/29/1983,0,0.5,2,3,14.7,0,5,0,0,33,59.9,14.60853059,20.5,13.2,0,2.196045952,67.94482988,0,0,3.742704072,0,0,0,31.74343432,0,5.2,13.5,12,0,0,2.4,13.6,14.4,0,79,156.2,0,6,63.2,0,14,23.5,128.5,0,77.8,18,1.5,11,76.1,0,43.1,4.6,63.6,24.04710767,11.46670537,46.50264068,0,0,0,0,132.66,3.3,13.1,3,31.3,5.2,15.2,3.167811028,14.07146487,25,25,0,49.5,21.2,2,2,17,18.5,22.45907989,
8/30/1983,0,2.1,1,0,3.6,1.521572387,1,0,8.7,6.2,39.7,31.72635566,34.7,0,0,15.73832932,45.03188224,0,0,0,0,0,0,5.963917962,0,0,2.7,0,0,2,17.2,12,15.3,22,20,4.2,3.2,0,8,21.9,0.5,7,4,0,32,24.7,0,2,6.2,2.3,51.4,8.2,64,7.162968243,9.621619355,55.45790559,0,0.7698989756,0,1.314014903,3.57,0.2,0,3.5,2.3,10.4,17.3,3.695779532,0,10,20.5,0,41,5,2,2,41.5,38,5.296952804,
8/31/1983,0,0,23.5,26.5,5.5,0.3307766059,30.1,0,0,24.5,39.3,13.69268248,5,8,0,17.93437527,44.57816051,0,0,33.06055263,0,0,0,23.56709517,0,47.4,0,0,0,13.9,19.6,12,10.2,6,16,81.7,50,0,2.9,12.7,5.8,0,0,0,53.1,2.1,0,8,49.9,0.5,37.4,32,23.2,0,4.4735131,40.35263947,0,12.02967149,0,0.2856554137,69.39,0,2.4,1,2.4,0,19.5,1.055937009,2.577978297,14,8,0,48,1,11,11,18.3,18,1.059390561,
9/1/1983,0,0,46.3,15.7,11,0.5953978907,0,0,0,53.9,65.1,0,46,5.6,0,71.55449727,73.84321244,0,0,19.58681798,0,0,0,51.84760938,0,7.2,5.5,4.4,3.1,100.7,78.2,109.5,10.5,15.5,16.2,79.3,67.5,0,38.2,27.1,44.7,18.5,80,0,56.3,33.5,1,0,96.6,0.9,35.9,4.9,28.1,18.93070178,11.78318826,38.7342181,0,16.24005652,0,0.5141797447,67.35,10.3,0,7,17.3,0,3.2,7.391559065,0,20,11.5,44,42,36,3,3,41,80,38.13806019,
9/2/1983,0,0,1.5,8.3,0.1,0,5.1,0,0,3.6,0.3,3.4,1.6,9.5,0,0,0.3402913016,0,0,10.3548146,0,0,0,3.462920107,0,0,0,0.7,1.5,1.1,0,5,0,0.9,36,28.8,20,0,18,16.7,2.5,0,35,0,11.2,0,3,4,2.2,0,21.4,11,26,0,1.867432739,23.0894782,0,4.811868598,0,0,24.46,0,10.6,11.2,18.6,0,7.1,11.8264945,11.38607081,0,3.4,66,17.3,2,7,7,41,18.7,2.118781122,
9/3/1983,2,7.3,0,12,15.5,0,6.1,0,0,0,0.7,6.1,0,10.3,0,0,0.794013037,1.462825089,1.832110176,14.97081629,0,0,0,0,0,7.4,8.3,7.2,0,2.9,0,2.2,10.6,15.8,21,3.6,0,5,0,32.5,0.3,3.5,0.5,0,95.6,0,2.5,0,4.6,0,61.4,15.2,29,3.581484121,0,66.24738138,0,0,0,0,3.06,0,0,1.2,29.7,12.4,10.2,1.267124411,0,0,19,17.2,56,13,15,15,0.1,25,13.77207729,
9/4/1983,3,6.1,56.4,36.9,17,2.315436242,24.5,0,0,45.3,39.1,62.5,38,85.5,0,108.1552631,44.35129964,2.194237634,2.748165264,46.03526008,0,0,0,43.57507802,0,0,1,0,12,14.2,118.2,23.5,0,39,12,7.6,6.6,0,7.2,16.5,28.4,0,21,0,162.6,0,0,0,54.8,3.5,70.3,6.8,40.1,0,0,75.85001484,0,1.587916637,0,1.999587896,6.45,5.8,0,0,1.2,9.2,9.1,0,0,49,29.5,39,71,5.6,17,17,0,41.8,5.932587141,
9/5/1983,1.2,1.8,48.2,5,4.7,0.06615532119,2,0,0,12,5,87.5,6.6,25.3,0,0,5.671521693,0.8776950536,1.099266105,6.23784012,0,0,0,11.54306702,0,50.2,0,0,2.4,0,0,0.5,23.1,11.5,43,32.4,14.3,2,0.5,0,0.5,5.5,63,0,61.3,6.3,1.6,0,83.3,0.1,18.2,19.4,50.1,5.628046476,2.215942867,19.63684595,0,3.440486047,0,0.05713108274,27.52,0,26,52,3.4,7.2,2.1,54.90872448,27.92809822,0,23,13,28,4,18,18,41.1,46.2,4.237562243,
9/6/1983,0,1.3,39.5,24,7,0,4.1,0,0,53.6,85,71.9,16,40.3,0,99.00507167,96.41586878,0,0,29.94163257,0,0,0,51.55903271,0,1.2,31.7,0,10,40.4,108.2,86.5,10.2,0,44.3,72,19.4,0,4.7,2.7,1.1,5,103,0,186.7,0,6.4,8,100.1,0,27.8,34.6,32.3,5.116405888,3.734865478,29.99474271,0,4.66751254,0,0,61.15,1,0,15,4.9,5.2,3.3,15.83905514,0,0,8,86,21,18,18,18,11,53.7,19.06903009,
9/7/1983,0,0,0,0,0.8,0.06615532119,3.8,0,0,8.7,0.3,3.5,22,25,0,7.503157002,0.3402913016,0,0,0,0,0,0,8.368723592,0,1.4,12.5,36,9.3,0,8.2,1.5,8.6,21,6,48.4,10,0,5,9.7,0.8,6,59.5,0,5.7,0,2,0,75.7,0.1,7.4,35.2,1.2,6.139687065,0,7.984212088,0,2.405934299,0,0.05713108274,41.1,29.7,62.2,18,60.2,15.2,10.7,19.00686617,66.8126042,20,0,95,27,2,19,19,41.5,22.4,2.118781122,
